2017-01-22 12:10:15,212 [Worker-45] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart
2017-01-22 12:10:15,212 [Worker-45] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-01-22 12:10:19,545 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:10:19,548 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\main\resources
2017-01-22 12:10:19,550 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:10:19,551 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\test\resources
2017-01-22 12:13:47,007 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:13:47,009 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\main\resources
2017-01-22 12:13:47,011 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:13:47,012 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\test\resources
2017-01-22 12:14:20,620 [Worker-49] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart
2017-01-22 12:14:20,620 [Worker-49] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
